[Worker:RC_2025-09.zst] Starting scan
[Worker:RC_2025-12.zst] Starting scan
[Worker:RC_2025-09.zst] comments=3,900,000 active_words=6,423 remaining=1,807
[Worker:RC_2025-12.zst] comments=4,000,000 active_words=6,423 remaining=1,751
[Worker:RC_2025-09.zst] comments=4,000,000 active_words=6,423 remaining=1,771
[Worker:RC_2025-12.zst] comments=4,100,000 active_words=6,423 remaining=1,721
[Worker:RC_2025-09.zst] comments=4,100,000 active_words=6,423 remaining=1,740
[Worker:RC_2025-12.zst] comments=4,200,000 active_words=6,423 remaining=1,692
[Worker:RC_2025-09.zst] comments=4,200,000 active_words=6,423 remaining=1,694
[Worker:RC_2025-12.zst] comments=4,300,000 active_words=6,423 remaining=1,651
[Worker:RC_2025-09.zst] comments=4,300,000 active_words=6,423 remaining=1,654
[Worker:RC_2025-12.zst] comments=4,400,000 active_words=6,423 remaining=1,620
[Worker:RC_2025-09.zst] comments=4,400,000 active_words=6,423 remaining=1,611
[Worker:RC_2025-12.zst] comments=4,500,000 active_words=6,423 remaining=1,579
[Worker:RC_2025-09.zst] comments=4,500,000 active_words=6,423 remaining=1,577
[Worker:RC_2025-12.zst] comments=4,600,000 active_words=6,423 remaining=1,542
[Worker:RC_2025-09.zst] comments=4,600,000 active_words=6,423 remaining=1,537
[Worker:RC_2025-12.zst] comments=4,700,000 active_words=6,423 remaining=1,491
[Worker:RC_2025-09.zst] comments=4,700,000 active_words=6,423 remaining=1,503
[Worker:RC_2025-12.zst] comments=4,800,000 active_words=6,423 remaining=1,465
[Worker:RC_2025-09.zst] comments=4,800,000 active_words=6,423 remaining=1,463
[Worker:RC_2025-12.zst] comments=4,900,000 active_words=6,423 remaining=1,430
[Worker:RC_2025-09.zst] comments=4,900,000 active_words=6,423 remaining=1,428
[Worker:RC_2025-12.zst] comments=5,000,000 active_words=6,423 remaining=1,396
[Worker:RC_2025-09.zst] comments=5,000,000 active_words=6,423 remaining=1,386
[Worker:RC_2025-12.zst] comments=5,100,000 active_words=6,423 remaining=1,362
[Worker:RC_2025-09.zst] comments=5,100,000 active_words=6,423 remaining=1,351
[Worker:RC_2025-12.zst] comments=5,200,000 active_words=6,423 remaining=1,329
[Worker:RC_2025-09.zst] comments=5,200,000 active_words=6,423 remaining=1,313
[Worker:RC_2025-12.zst] comments=5,300,000 active_words=6,423 remaining=1,287
[Worker:RC_2025-09.zst] comments=5,300,000 active_words=6,423 remaining=1,282
[Worker:RC_2025-12.zst] comments=5,400,000 active_words=6,423 remaining=1,249
[Worker:RC_2025-09.zst] comments=5,400,000 active_words=6,423 remaining=1,242
[Worker:RC_2025-12.zst] comments=5,500,000 active_words=6,423 remaining=1,211
[Worker:RC_2025-09.zst] comments=5,500,000 active_words=6,423 remaining=1,196
[Worker:RC_2025-12.zst] comments=5,600,000 active_words=6,423 remaining=1,177
[Worker:RC_2025-09.zst] comments=5,600,000 active_words=6,423 remaining=1,151
[Worker:RC_2025-12.zst] comments=5,700,000 active_words=6,423 remaining=1,138
[Worker:RC_2025-09.zst] comments=5,700,000 active_words=6,423 remaining=1,108
[Worker:RC_2025-12.zst] comments=5,800,000 active_words=6,423 remaining=1,098
[Worker:RC_2025-09.zst] comments=5,800,000 active_words=6,423 remaining=1,074
[Worker:RC_2025-12.zst] comments=5,900,000 active_words=6,423 remaining=1,064
[Worker:RC_2025-09.zst] comments=5,900,000 active_words=6,423 remaining=1,033
[Worker:RC_2025-12.zst] comments=6,000,000 active_words=6,423 remaining=1,020
[Worker:RC_2025-09.zst] comments=6,000,000 active_words=6,423 remaining=992
[Worker:RC_2025-12.zst] comments=6,100,000 active_words=6,423 remaining=979
[Worker:RC_2025-09.zst] comments=6,100,000 active_words=6,423 remaining=953
[Worker:RC_2025-12.zst] comments=6,200,000 active_words=6,423 remaining=945
[Worker:RC_2025-09.zst] comments=6,200,000 active_words=6,423 remaining=910
[Worker:RC_2025-12.zst] comments=6,300,000 active_words=6,423 remaining=910
[Worker:RC_2025-09.zst] comments=6,300,000 active_words=6,423 remaining=875
[Worker:RC_2025-12.zst] comments=6,400,000 active_words=6,423 remaining=872
[Worker:RC_2025-09.zst] comments=6,400,000 active_words=6,423 remaining=833
[Worker:RC_2025-12.zst] comments=6,500,000 active_words=6,423 remaining=826
[Worker:RC_2025-09.zst] comments=6,500,000 active_words=6,423 remaining=789
[Worker:RC_2025-12.zst] comments=6,600,000 active_words=6,423 remaining=795
[Worker:RC_2025-09.zst] comments=6,600,000 active_words=6,423 remaining=763
[Worker:RC_2025-12.zst] comments=6,700,000 active_words=6,423 remaining=772
[Worker:RC_2025-09.zst] comments=6,700,000 active_words=6,423 remaining=721
[Worker:RC_2025-12.zst] comments=6,800,000 active_words=6,423 remaining=731
[Worker:RC_2025-09.zst] comments=6,800,000 active_words=6,423 remaining=691
[Worker:RC_2025-12.zst] comments=6,900,000 active_words=6,423 remaining=687
[Worker:RC_2025-09.zst] comments=6,900,000 active_words=6,423 remaining=647
[Worker:RC_2025-12.zst] comments=7,000,000 active_words=6,423 remaining=654
[Worker:RC_2025-09.zst] comments=7,000,000 active_words=6,423 remaining=616
[Worker:RC_2025-12.zst] comments=7,100,000 active_words=6,423 remaining=621
[Worker:RC_2025-09.zst] comments=7,100,000 active_words=6,423 remaining=591
[Worker:RC_2025-12.zst] comments=7,200,000 active_words=6,423 remaining=582
[Worker:RC_2025-09.zst] comments=7,200,000 active_words=6,423 remaining=559
[Worker:RC_2025-12.zst] comments=7,300,000 active_words=6,423 remaining=550
[Worker:RC_2025-09.zst] comments=7,300,000 active_words=6,423 remaining=529
[Worker:RC_2025-12.zst] comments=7,400,000 active_words=6,423 remaining=523
[Worker:RC_2025-09.zst] comments=7,400,000 active_words=6,423 remaining=504
[Worker:RC_2025-12.zst] comments=7,500,000 active_words=6,423 remaining=487
[Worker:RC_2025-09.zst] comments=7,500,000 active_words=6,423 remaining=478
[Worker:RC_2025-12.zst] comments=7,600,000 active_words=6,423 remaining=462
[Worker:RC_2025-09.zst] comments=7,600,000 active_words=6,423 remaining=456
[Worker:RC_2025-12.zst] comments=7,700,000 active_words=6,423 remaining=438
[Worker:RC_2025-09.zst] comments=7,700,000 active_words=6,423 remaining=430
[Worker:RC_2025-12.zst] comments=7,800,000 active_words=6,423 remaining=404
[Worker:RC_2025-09.zst] comments=7,800,000 active_words=6,423 remaining=407
[Worker:RC_2025-12.zst] comments=7,900,000 active_words=6,423 remaining=380
[Worker:RC_2025-09.zst] comments=7,900,000 active_words=6,423 remaining=384
[Worker:RC_2025-12.zst] comments=8,000,000 active_words=6,423 remaining=365
[Worker:RC_2025-09.zst] comments=8,000,000 active_words=6,423 remaining=371
[Worker:RC_2025-09.zst] comments=8,100,000 active_words=6,423 remaining=355
[Worker:RC_2025-12.zst] comments=8,100,000 active_words=6,423 remaining=339
[Worker:RC_2025-09.zst] comments=8,200,000 active_words=6,423 remaining=337
[Worker:RC_2025-12.zst] comments=8,200,000 active_words=6,423 remaining=324
[Worker:RC_2025-09.zst] comments=8,300,000 active_words=6,423 remaining=319
[Worker:RC_2025-12.zst] comments=8,300,000 active_words=6,423 remaining=307
[Worker:RC_2025-09.zst] comments=8,400,000 active_words=6,423 remaining=298
[Worker:RC_2025-12.zst] comments=8,400,000 active_words=6,423 remaining=296
[Worker:RC_2025-09.zst] comments=8,500,000 active_words=6,423 remaining=272
[Worker:RC_2025-12.zst] comments=8,500,000 active_words=6,423 remaining=276
[Worker:RC_2025-09.zst] comments=8,600,000 active_words=6,423 remaining=248
[Worker:RC_2025-12.zst] comments=8,600,000 active_words=6,423 remaining=259
[Worker:RC_2025-09.zst] comments=8,700,000 active_words=6,423 remaining=234
[Worker:RC_2025-12.zst] comments=8,700,000 active_words=6,423 remaining=244
[Worker:RC_2025-09.zst] comments=8,800,000 active_words=6,423 remaining=220
[Worker:RC_2025-12.zst] comments=8,800,000 active_words=6,423 remaining=226
[Worker:RC_2025-09.zst] comments=8,900,000 active_words=6,423 remaining=207
[Worker:RC_2025-12.zst] comments=8,900,000 active_words=6,423 remaining=209
[Worker:RC_2025-09.zst] comments=9,000,000 active_words=6,423 remaining=192
[Worker:RC_2025-12.zst] comments=9,000,000 active_words=6,423 remaining=199
[Worker:RC_2025-09.zst] comments=9,100,000 active_words=6,423 remaining=179
[Worker:RC_2025-12.zst] comments=9,100,000 active_words=6,423 remaining=189
[Worker:RC_2025-09.zst] comments=9,200,000 active_words=6,423 remaining=171
[Worker:RC_2025-12.zst] comments=9,200,000 active_words=6,423 remaining=173
[Worker:RC_2025-09.zst] comments=9,300,000 active_words=6,423 remaining=162
[Worker:RC_2025-12.zst] comments=9,300,000 active_words=6,423 remaining=160
[Worker:RC_2025-09.zst] comments=9,400,000 active_words=6,423 remaining=152
[Worker:RC_2025-12.zst] comments=9,400,000 active_words=6,423 remaining=146
[Worker:RC_2025-09.zst] comments=9,500,000 active_words=6,423 remaining=143
[Worker:RC_2025-12.zst] comments=9,500,000 active_words=6,423 remaining=135
[Worker:RC_2025-09.zst] comments=9,600,000 active_words=6,423 remaining=128
[Worker:RC_2025-12.zst] comments=9,600,000 active_words=6,423 remaining=126
[Worker:RC_2025-09.zst] comments=9,700,000 active_words=6,423 remaining=117
[Worker:RC_2025-12.zst] comments=9,700,000 active_words=6,423 remaining=121
[Worker:RC_2025-09.zst] comments=9,800,000 active_words=6,423 remaining=106
[Worker:RC_2025-12.zst] comments=9,800,000 active_words=6,423 remaining=111
[Worker:RC_2025-09.zst] comments=9,900,000 active_words=6,423 remaining=99
[Worker:RC_2025-12.zst] comments=9,900,000 active_words=6,423 remaining=108
[Worker:RC_2025-09.zst] comments=10,000,000 active_words=6,423 remaining=93
[Worker:RC_2025-12.zst] comments=10,000,000 active_words=6,423 remaining=100
